Zip Code,CrimeRate,Poor Mental Health,Lacking Social/Emotional Support,Childhood Opportunity Index,Behavioral Health-related Hospitalizations,Hardship Index,Social Vulnerability Index
60601,27.129879695556102,12.8,22.6,85.11744841028572,100.6,0.9,40.25
60602,201.41969831410825,12.2,22.3,84.565587751,154.1,3.2,22.53
60603,171.4031971580817,14.3,24.7,85.541857355625,,16.5,34.0
60604,301.68453292496173,15.6,24.8,82.61304854175,242.7,15.5,34.3
60605,23.441148995796357,13.6,23.1,74.26543881829411,70.7,15.5,30.73
60606,31.755032605613838,13.5,22.2,76.16281218646154,90.7,0.6,23.44
60607,26.82385667450409,15.0,24.7,69.69671394545455,140.3,22.2,35.84
60608,20.77118550436416,16.3,30.5,36.1647316469973,93.8,69.9,74.41
60609,33.48478247339267,17.7,32.0,20.541897511489584,95.5,79.5,80.35
60610,17.07080075968376,14.4,21.3,87.14900213085184,110.8,8.3,30.19
60611,25.474525474525475,11.8,19.6,88.45384464809999,63.1,1.3,16.98
60612,55.70765728118966,17.6,30.6,36.546786506988234,280.7,62.2,65.73
60613,12.83749561694004,14.5,21.7,72.280764278,82.8,13.1,32.33
60614,8.190903412639829,14.3,20.3,80.72612776389654,64.9,2.0,15.41
60615,27.50748502994012,15.8,28.1,32.82077342813954,86.0,52.4,63.32
60616,21.870868223887175,14.0,30.2,42.5891674121,88.4,55.6,62.33
60617,35.1016598557086,17.0,32.5,15.39947400413433,96.3,81.1,74.29
60618,11.186558718551405,14.7,24.5,57.25463276746836,64.7,31.5,44.05
60619,50.69124423963134,17.7,34.1,15.101917466651516,114.4,83.5,79.75
60620,50.30746793763437,18.2,35.5,20.907190370066665,141.8,81.4,82.01
60621,78.9589281792225,20.8,37.6,9.524999120783784,216.0,89.7,87.07
60622,17.52458283671037,15.0,22.3,65.15261825195833,103.4,10.8,27.84
60623,40.77289420069815,18.5,33.6,12.039365696112501,122.2,89.3,87.05
60624,73.19873428355409,21.6,37.5,11.659897129400001,225.2,92.5,90.49
60625,14.617609950679903,14.9,25.7,50.77494935425581,82.3,48.2,62.03
60626,22.54782417494553,16.6,26.5,39.068946953444446,206.3,51.0,73.45
60628,48.301020063500644,17.8,34.6,20.47331780139706,186.4,81.9,74.99
60629,20.724298210299015,17.0,31.9,17.92313404087037,74.6,86.2,85.23
60630,9.955385125917186,14.0,24.8,50.614346666320756,65.8,35.9,48.63
60631,5.741058466411508,13.4,21.6,65.62128022788889,54.7,23.5,35.5
60632,16.850542519156107,16.2,31.6,19.942209813266665,59.5,86.6,79.63
60633,16.419703644373246,16.8,29.9,16.23045711725,119.9,73.9,79.72
60634,10.373834287403586,14.9,26.2,39.787558727695654,65.7,47.3,52.85
60636,56.53562098880898,20.4,37.2,8.003520021473683,187.8,91.6,87.87
60637,46.472585752985616,19.5,32.8,22.637146353037735,148.9,76.1,77.79
60638,10.781115879828326,14.9,26.7,32.516119193892855,69.4,53.6,49.49
60639,18.95745813857168,16.8,31.6,23.9262301387641,83.6,84.8,83.44
60640,19.36188027031876,14.9,24.2,56.95467494923684,200.4,35.2,55.84
60641,15.830860534124628,15.1,26.5,38.65345981387272,74.3,56.4,67.09
60642,17.704980117402005,14.6,22.2,73.60558972343479,59.6,4.0,23.28
60643,25.8984979707962,14.9,29.7,39.03417644182927,99.4,54.1,49.4
60644,51.265600099343914,20.6,37.2,8.0255069355625,283.3,92.1,95.42
60645,11.417961413693016,15.2,27.5,39.728710783222226,83.3,72.6,79.7
60646,5.754587880276501,12.4,21.9,58.82121358973333,67.1,19.8,24.18
60647,13.319468623304397,15.3,24.0,52.2254754321828,86.3,22.9,42.89
60649,50.26683087027914,19.1,34.7,12.912863625435897,151.5,82.2,85.4
60651,32.13234833782007,18.6,33.9,19.05421805991111,165.3,84.9,90.34
60652,14.312954068209795,16.4,31.9,21.753520659062502,76.2,75.7,73.61
60653,39.67290799815071,18.4,33.2,27.64581258424324,169.5,78.7,77.04
60654,23.536188947866517,13.5,20.4,81.40673957019231,42.8,0.5,8.23
60655,6.871986759732316,14.7,22.5,57.4989944658125,55.2,20.7,22.62
60656,8.041495509294714,14.5,24.2,60.82578783433333,53.0,33.2,42.98
60657,10.804288039512825,14.0,20.1,81.00470457511364,65.8,3.5,15.01
60659,13.11654922871834,14.9,29.8,47.439054693885716,59.3,78.0,82.66
60660,13.333333333333334,15.1,25.2,47.662820925111106,92.9,43.0,62.73
60661,17.627648489058704,13.2,22.8,72.945071499625,32.1,1.5,12.05
60666,,,,,,,
60707,6.406337873193633,14.8,26.3,,79.6,54.7,61.09
60827,20.171173705147265,20.6,35.8,,134.2,90.4,83.85
